timestamp,blob_id,area,center_x,center_y
2026-03-18_17-59-38,1,433,16,5
2026-03-18_17-59-38,2,1433,86,137
2026-03-18_17-59-38,3,810,243,113
2026-03-18_17-59-38,4,373,545,123
2026-03-18_17-59-38,5,83,685,120
2026-03-18_17-59-38,6,801,884,108
2026-03-18_17-59-38,7,312,66,311
2026-03-18_17-59-38,8,499,84,265
2026-03-18_17-59-38,9,735,221,258
2026-03-18_17-59-38,10,881,401,271
2026-03-18_17-59-38,11,805,564,273
2026-03-18_17-59-38,12,807,724,277
2026-03-18_17-59-38,13,731,872,246
2026-03-18_17-59-38,14,1434,46,445
2026-03-18_17-59-38,15,752,223,447
2026-03-18_17-59-38,16,1062,402,435
2026-03-18_17-59-38,17,940,566,428
2026-03-18_17-59-38,18,987,743,441
2026-03-18_17-59-38,19,713,912,440
2026-03-18_17-59-38,20,308,97,585
2026-03-18_17-59-38,21,1032,192,617
2026-03-18_17-59-38,22,952,377,621
2026-03-18_17-59-38,23,1123,574,610
2026-03-18_17-59-38,24,1197,750,605
2026-03-18_17-59-38,25,1235,916,624
2026-03-18_17-59-38,26,1987,34,641
2026-03-18_18-19-23,1,219,15,3
2026-03-18_18-19-23,2,1473,87,134
2026-03-18_18-19-23,3,772,246,108
2026-03-18_18-19-23,4,420,540,113
2026-03-18_18-19-23,5,677,885,100
2026-03-18_18-19-23,6,170,1018,122
2026-03-18_18-19-23,7,713,873,239
2026-03-18_18-19-23,8,181,70,310
2026-03-18_18-19-23,9,471,90,252
2026-03-18_18-19-23,10,135,105,297
2026-03-18_18-19-23,11,718,224,254
2026-03-18_18-19-23,12,831,403,266
2026-03-18_18-19-23,13,693,566,266
2026-03-18_18-19-23,14,807,727,270
2026-03-18_18-19-23,15,192,37,471
2026-03-18_18-19-23,16,1061,52,434
2026-03-18_18-19-23,17,766,226,442
2026-03-18_18-19-23,18,1051,404,430
2026-03-18_18-19-23,19,921,569,422
2026-03-18_18-19-23,20,953,746,435
2026-03-18_18-19-23,21,738,915,434
2026-03-18_18-19-23,22,2077,38,637
2026-03-18_18-19-23,23,282,93,581
2026-03-18_18-19-23,24,980,196,614
2026-03-18_18-19-23,25,947,380,616
2026-03-18_18-19-23,26,1084,576,604
2026-03-18_18-19-23,27,1169,752,600
2026-03-18_18-19-23,28,1269,920,618
2026-03-18_18-19-23,29,132,924,671
