timestamp,cell_id,row,col,green_pixels,total_pixels,coverage_pct,brightness,quality_ok
2026-03-18_17-59-38,1,0,0,1616,22968,7.036,143.5,True
2026-03-18_17-59-38,2,0,1,869,22968,3.784,143.5,True
2026-03-18_17-59-38,3,0,2,0,22968,0.0,143.5,True
2026-03-18_17-59-38,4,0,3,500,22968,2.177,143.5,True
2026-03-18_17-59-38,5,0,4,101,22968,0.44,143.5,True
2026-03-18_17-59-38,6,0,5,78,22968,0.34,143.5,True
2026-03-18_17-59-38,7,0,6,425,22968,1.85,143.5,True
2026-03-18_17-59-38,8,1,0,963,22968,4.193,143.5,True
2026-03-18_17-59-38,9,1,1,795,22968,3.461,143.5,True
2026-03-18_17-59-38,10,1,2,947,22968,4.123,143.5,True
2026-03-18_17-59-38,11,1,3,862,22968,3.753,143.5,True
2026-03-18_17-59-38,12,1,4,405,22968,1.763,143.5,True
2026-03-18_17-59-38,13,1,5,485,22968,2.112,143.5,True
2026-03-18_17-59-38,14,1,6,157,22968,0.684,143.5,True
2026-03-18_17-59-38,15,2,0,1525,22968,6.64,143.5,True
2026-03-18_17-59-38,16,2,1,812,22968,3.535,143.5,True
2026-03-18_17-59-38,17,2,2,1129,22968,4.916,143.5,True
2026-03-18_17-59-38,18,2,3,789,22968,3.435,143.5,True
2026-03-18_17-59-38,19,2,4,133,22968,0.579,143.5,True
2026-03-18_17-59-38,20,2,5,648,22968,2.821,143.5,True
2026-03-18_17-59-38,21,2,6,770,22968,3.352,143.5,True
2026-03-18_17-59-38,22,3,0,2296,22968,9.997,143.5,True
2026-03-18_17-59-38,23,3,1,1099,22968,4.785,143.5,True
2026-03-18_17-59-38,24,3,2,1017,22968,4.428,143.5,True
2026-03-18_17-59-38,25,3,3,645,22968,2.808,143.5,True
2026-03-18_17-59-38,26,3,4,185,22968,0.805,143.5,True
2026-03-18_17-59-38,27,3,5,1043,22968,4.541,143.5,True
2026-03-18_17-59-38,28,3,6,1373,22968,5.978,143.5,True
2026-03-18_18-19-23,1,0,0,1566,22968,6.818,143.6,True
2026-03-18_18-19-23,2,0,1,829,22968,3.609,143.6,True
2026-03-18_18-19-23,3,0,2,0,22968,0.0,143.6,True
2026-03-18_18-19-23,4,0,3,479,22968,2.086,143.6,True
2026-03-18_18-19-23,5,0,4,77,22968,0.335,143.6,True
2026-03-18_18-19-23,6,0,5,39,22968,0.17,143.6,True
2026-03-18_18-19-23,7,0,6,506,22968,2.203,143.6,True
2026-03-18_18-19-23,8,1,0,881,22968,3.836,143.6,True
2026-03-18_18-19-23,9,1,1,776,22968,3.379,143.6,True
2026-03-18_18-19-23,10,1,2,885,22968,3.853,143.6,True
2026-03-18_18-19-23,11,1,3,736,22968,3.204,143.6,True
2026-03-18_18-19-23,12,1,4,339,22968,1.476,143.6,True
2026-03-18_18-19-23,13,1,5,517,22968,2.251,143.6,True
2026-03-18_18-19-23,14,1,6,170,22968,0.74,143.6,True
2026-03-18_18-19-23,15,2,0,1466,22968,6.383,143.6,True
2026-03-18_18-19-23,16,2,1,826,22968,3.596,143.6,True
2026-03-18_18-19-23,17,2,2,1117,22968,4.863,143.6,True
2026-03-18_18-19-23,18,2,3,728,22968,3.17,143.6,True
2026-03-18_18-19-23,19,2,4,71,22968,0.309,143.6,True
2026-03-18_18-19-23,20,2,5,680,22968,2.961,143.6,True
2026-03-18_18-19-23,21,2,6,795,22968,3.461,143.6,True
2026-03-18_18-19-23,22,3,0,2213,22968,9.635,143.6,True
2026-03-18_18-19-23,23,3,1,1045,22968,4.55,143.6,True
2026-03-18_18-19-23,24,3,2,1012,22968,4.406,143.6,True
2026-03-18_18-19-23,25,3,3,566,22968,2.464,143.6,True
2026-03-18_18-19-23,26,3,4,223,22968,0.971,143.6,True
2026-03-18_18-19-23,27,3,5,1026,22968,4.467,143.6,True
2026-03-18_18-19-23,28,3,6,1509,22968,6.57,143.6,True
